"id","clave","tipo_inversion_detectado","categoria_movimiento"
A003366,inversion,loc_1,deposito
A003499,inversion,loc_1,deposito
A003500,inversion,loc_1,deposito
A003501,inversion,loc_1,retiro
A003504,inversion,loc_1,deposito
A003544,inversion,loc_1,deposito
A003558,inversion,loc_1,retiro
A003716,inversion,loc_1,deposito
A003723,inversion,loc_1,deposito
A003731,inversion,loc_2,deposito
A003737,inversion,loc_3,deposito
A003738,inversion,loc_2,deposito
A003786,inversion,loc_4,deposito
A003874,inversion,loc_3,deposito
A003947,inversion,loc_4,deposito
A003958,inversion,loc_1,retiro
A004003,inversion,loc_3,deposito
A004060,inversion,loc_4,deposito
A004113,inversion,loc_3,deposito
A004145,inversion,loc_1,deposito
A004155,inversion,loc_4,deposito
A004211,inversion,loc_3,deposito
A004247,inversion,loc_1,deposito
A004248,inversion,loc_4,deposito
A004257,inversion,loc_1,retiro
A004297,inversion,loc_3,deposito
A004346,inversion,loc_1,deposito
A004355,inversion,loc_4,deposito
A004412,inversion,loc_3,deposito
A004442,inversion,loc_4,deposito
A004526,inversion,loc_3,deposito
A004578,inversion,loc_1,deposito
A004585,inversion,loc_4,deposito
A004624,inversion,loc_3,deposito
A004658,inversion,loc_1,deposito
A004663,inversion,loc_4,deposito
A004706,inversion,loc_3,deposito
A004739,inversion,loc_1,deposito
A004752,inversion,loc_4,deposito
A004794,inversion,loc_3,deposito
A004942,inversion,loc_4,deposito
A005035,inversion,loc_3,deposito
A005077,inversion,loc_4,deposito
A005125,inversion,loc_1,deposito
A005126,inversion,loc_2,deposito
A005176,inversion,loc_3,deposito
A005211,inversion,loc_4,deposito
A005276,necesidad,monedero,deposito
A005277,necesidad,monedero,deposito
A005350,inversion,loc_3,deposito
A005411,inversion,loc_4,deposito
A005462,inversion,loc_3,deposito
A005500,inversion,loc_4,deposito
A005583,inversion,loc_3,deposito
A005589,inversion,loc_1,retiro
A005619,inversion,loc_4,deposito
A005690,inversion,loc_3,deposito
A005841,transaccion,monedero,retiro
A005878,inversion,loc_4,deposito
A005918,inversion,loc_3,deposito
A005980,inversion,loc_1,retiro
A005981,inversion,loc_1,retiro
A006016,inversion,loc_4,deposito
A006035,inversion,loc_1,deposito
A006064,inversion,loc_1,deposito
A006069,inversion,loc_3,deposito
A006096,inversion,loc_1,retiro
A006125,inversion,loc_4,deposito
A006225,inversion,loc_3,deposito
A006330,inversion,loc_4,deposito
A006366,inversion,loc_3,deposito
A006377,inversion,loc_4,deposito
A006428,inversion,loc_3,deposito
A006486,inversion,loc_4,deposito
A006563,transaccion,monedero,retiro
A006576,inversion,loc_4,deposito
A006623,inversion,loc_3,deposito
A006668,inversion,loc_4,deposito
A006689,inversion,loc_1,deposito
A006692,inversion,loc_2,deposito
A006698,inversion,loc_1,retiro
A006699,inversion,loc_1,deposito
A006728,inversion,loc_3,deposito
A006767,inversion,loc_2,retiro
A006777,inversion,loc_4,deposito
A006796,necesidad,monedero,deposito
A006797,necesidad,monedero,deposito
A006816,inversion,loc_3,deposito
A006850,inversion,loc_4,deposito
A006861,transaccion,monedero,retiro
A006914,inversion,loc_3,deposito
A006917,inversion,loc_1,retiro
A006949,inversion,loc_1,retiro
A006988,inversion,loc_1,retiro
A007008,inversion,loc_4,deposito
A007039,inversion,loc_3,deposito
A007104,inversion,loc_1,retiro
A007112,inversion,loc_4,deposito
A007137,inversion,loc_1,retiro
A007176,inversion,loc_1,retiro
A007192,inversion,loc_3,deposito
A007253,inversion,loc_1,retiro
A007284,inversion,loc_4,deposito
A007353,inversion,loc_3,deposito
A007370,inversion,loc_4,deposito
A007409,inversion,loc_1,retiro
A007430,inversion,loc_3,deposito
A007482,inversion,loc_4,deposito
A007557,inversion,loc_3,deposito
A007593,inversion,loc_4,deposito
A007641,inversion,loc_3,deposito
A007653,inversion,loc_1,retiro
A007691,inversion,loc_4,deposito
A007765,inversion,loc_3,deposito
A007804,inversion,loc_4,deposito
A007877,inversion,loc_3,deposito
